date,category,amount,month
2025-06-02,Labor - Overtime,495.0,2025-06
2025-06-02,Fertilizers,1231.0,2025-06
2025-06-02,Pesticides & Fungicides,596.0,2025-06
2025-06-02,Seeds & Rootstock,866.0,2025-06
2025-06-02,Electricity,444.0,2025-06
2025-06-02,Water,210.0,2025-06
2025-06-02,Equipment Maintenance,258.0,2025-06
2025-06-02,Transport,361.0,2025-06
2025-06-02,Packaging Materials,201.0,2025-06
2025-06-02,Miscellaneous,103.0,2025-06
2025-06-03,Labor - Regular,3390.0,2025-06
2025-06-03,Labor - Overtime,501.0,2025-06
2025-06-03,Fertilizers,1766.0,2025-06
2025-06-03,Pesticides & Fungicides,608.0,2025-06
2025-06-03,Seeds & Rootstock,876.0,2025-06
2025-06-03,Electricity,453.0,2025-06
2025-06-03,Water,171.0,2025-06
2025-06-03,Equipment Maintenance,186.0,2025-06
2025-06-03,Transport,394.0,2025-06
2025-06-03,Packaging Materials,199.0,2025-06
2025-06-03,Miscellaneous,155.0,2025-06
2025-06-04,Labor - Regular,3454.0,2025-06
2025-06-04,Labor - Overtime,571.0,2025-06
2025-06-04,Fertilizers,1316.0,2025-06
2025-06-04,Pesticides & Fungicides,572.0,2025-06
2025-06-04,Seeds & Rootstock,937.0,2025-06
2025-06-04,Electricity,459.0,2025-06
2025-06-04,Water,193.0,2025-06
2025-06-04,Equipment Maintenance,256.0,2025-06
2025-06-04,Transport,411.0,2025-06
2025-06-04,Packaging Materials,213.0,2025-06
2025-06-04,Miscellaneous,157.0,2025-06
2025-06-05,Labor - Regular,3488.0,2025-06
2025-06-05,Labor - Overtime,448.0,2025-06
2025-06-05,Fertilizers,1443.0,2025-06
2025-06-05,Pesticides & Fungicides,606.0,2025-06
2025-06-05,Seeds & Rootstock,1051.0,2025-06
2025-06-05,Electricity,452.0,2025-06
2025-06-05,Water,197.0,2025-06
2025-06-05,Equipment Maintenance,243.0,2025-06
2025-06-05,Transport,393.0,2025-06
2025-06-05,Packaging Materials,198.0,2025-06
2025-06-05,Miscellaneous,219.0,2025-06
2025-06-06,Labor - Regular,3342.0,2025-06
2025-06-06,Labor - Overtime,618.0,2025-06
2025-06-06,Fertilizers,1361.0,2025-06
2025-06-06,Pesticides & Fungicides,488.0,2025-06
2025-06-06,Seeds & Rootstock,783.0,2025-06
2025-06-06,Electricity,357.0,2025-06
2025-06-06,Water,212.0,2025-06
2025-06-06,Equipment Maintenance,292.0,2025-06
2025-06-06,Transport,372.0,2025-06
2025-06-06,Packaging Materials,201.0,2025-06
2025-06-06,Miscellaneous,216.0,2025-06
2025-06-07,Labor - Regular,3361.0,2025-06
2025-06-07,Labor - Overtime,377.0,2025-06
2025-06-07,Fertilizers,1386.0,2025-06
2025-06-07,Pesticides & Fungicides,776.0,2025-06
2025-06-07,Seeds & Rootstock,885.0,2025-06
2025-06-07,Electricity,379.0,2025-06
2025-06-07,Water,195.0,2025-06
2025-06-07,Equipment Maintenance,198.0,2025-06
2025-06-07,Transport,386.0,2025-06
2025-06-07,Packaging Materials,213.0,2025-06
2025-06-07,Miscellaneous,176.0,2025-06
2025-06-08,Labor - Regular,0.0,2025-06
2025-06-08,Labor - Overtime,0.0,2025-06
2025-06-08,Fertilizers,183.0,2025-06
2025-06-08,Pesticides & Fungicides,51.0,2025-06
2025-06-08,Seeds & Rootstock,83.0,2025-06
2025-06-08,Electricity,37.0,2025-06
2025-06-08,Water,18.0,2025-06
2025-06-08,Equipment Maintenance,33.0,2025-06
2025-06-08,Transport,39.0,2025-06
2025-06-08,Packaging Materials,20.0,2025-06
2025-06-08,Miscellaneous,10.0,2025-06
2025-06-09,Labor - Regular,3303.0,2025-06
2025-06-09,Labor - Overtime,658.0,2025-06
2025-06-09,Fertilizers,1736.0,2025-06
2025-06-09,Pesticides & Fungicides,501.0,2025-06
2025-06-09,Seeds & Rootstock,889.0,2025-06
2025-06-09,Electricity,370.0,2025-06
2025-06-09,Water,175.0,2025-06
2025-06-09,Equipment Maintenance,362.0,2025-06
2025-06-09,Transport,342.0,2025-06
2025-06-09,Packaging Materials,245.0,2025-06
2025-06-09,Miscellaneous,162.0,2025-06
2025-06-10,Labor - Regular,3311.0,2025-06
2025-06-10,Labor - Overtime,373.0,2025-06
2025-06-10,Fertilizers,1304.0,2025-06
2025-06-10,Pesticides & Fungicides,548.0,2025-06
2025-06-10,Seeds & Rootstock,740.0,2025-06
2025-06-10,Electricity,425.0,2025-06
2025-06-10,Water,160.0,2025-06
2025-06-10,Equipment Maintenance,347.0,2025-06
2025-06-10,Transport,407.0,2025-06
2025-06-10,Packaging Materials,204.0,2025-06
2025-06-10,Miscellaneous,217.0,2025-06
2025-06-11,Labor - Regular,3371.0,2025-06
2025-06-11,Labor - Overtime,569.0,2025-06
2025-06-11,Fertilizers,1257.0,2025-06
2025-06-11,Pesticides & Fungicides,484.0,2025-06
2025-06-11,Seeds & Rootstock,969.0,2025-06
2025-06-11,Electricity,403.0,2025-06
2025-06-11,Water,240.0,2025-06
2025-06-11,Equipment Maintenance,328.0,2025-06
2025-06-11,Transport,266.0,2025-06
2025-06-11,Packaging Materials,243.0,2025-06
2025-06-11,Miscellaneous,108.0,2025-06
2025-06-12,Labor - Regular,3240.0,2025-06
2025-06-12,Labor - Overtime,482.0,2025-06
2025-06-12,Fertilizers,1435.0,2025-06
2025-06-12,Pesticides & Fungicides,771.0,2025-06
2025-06-12,Seeds & Rootstock,956.0,2025-06
2025-06-12,Electricity,405.0,2025-06
2025-06-12,Water,201.0,2025-06
2025-06-12,Equipment Maintenance,185.0,2025-06
2025-06-12,Transport,331.0,2025-06
2025-06-12,Packaging Materials,193.0,2025-06
2025-06-12,Miscellaneous,182.0,2025-06
2025-06-13,Labor - Regular,3408.0,2025-06
2025-06-13,Labor - Overtime,637.0,2025-06
2025-06-13,Fertilizers,1641.0,2025-06
2025-06-13,Pesticides & Fungicides,671.0,2025-06
2025-06-13,Seeds & Rootstock,870.0,2025-06
2025-06-13,Electricity,401.0,2025-06
2025-06-13,Water,230.0,2025-06
2025-06-13,Equipment Maintenance,234.0,2025-06
2025-06-13,Transport,400.0,2025-06
2025-06-13,Packaging Materials,257.0,2025-06
2025-06-13,Miscellaneous,116.0,2025-06
2025-06-14,Labor - Regular,3292.0,2025-06
2025-06-14,Labor - Overtime,313.0,2025-06
2025-06-14,Fertilizers,1587.0,2025-06
2025-06-14,Pesticides & Fungicides,778.0,2025-06
2025-06-14,Seeds & Rootstock,895.0,2025-06
2025-06-14,Electricity,418.0,2025-06
2025-06-14,Water,222.0,2025-06
2025-06-14,Equipment Maintenance,195.0,2025-06
2025-06-14,Transport,250.0,2025-06
2025-06-14,Packaging Materials,234.0,2025-06
2025-06-14,Miscellaneous,136.0,2025-06
2025-06-15,Labor - Regular,0.0,2025-06
2025-06-15,Labor - Overtime,0.0,2025-06
2025-06-15,Fertilizers,169.0,2025-06
2025-06-15,Pesticides & Fungicides,76.0,2025-06
2025-06-15,Seeds & Rootstock,87.0,2025-06
2025-06-15,Electricity,41.0,2025-06
2025-06-15,Water,23.0,2025-06
2025-06-15,Equipment Maintenance,33.0,2025-06
2025-06-15,Transport,39.0,2025-06
2025-06-15,Packaging Materials,22.0,2025-06
2025-06-15,Miscellaneous,16.0,2025-06
2025-06-16,Labor - Regular,3266.0,2025-06
2025-06-16,Labor - Overtime,691.0,2025-06
2025-06-16,Fertilizers,1148.0,2025-06
2025-06-16,Pesticides & Fungicides,587.0,2025-06
2025-06-16,Seeds & Rootstock,1039.0,2025-06
2025-06-16,Electricity,444.0,2025-06
2025-06-16,Water,206.0,2025-06
2025-06-16,Equipment Maintenance,175.0,2025-06
2025-06-16,Transport,320.0,2025-06
2025-06-16,Packaging Materials,236.0,2025-06
2025-06-16,Miscellaneous,112.0,2025-06
2025-06-17,Labor - Regular,3307.0,2025-06
2025-06-17,Labor - Overtime,348.0,2025-06
2025-06-17,Fertilizers,1762.0,2025-06
2025-06-17,Pesticides & Fungicides,778.0,2025-06
2025-06-17,Seeds & Rootstock,669.0,2025-06
2025-06-17,Electricity,378.0,2025-06
2025-06-17,Water,182.0,2025-06
2025-06-17,Equipment Maintenance,346.0,2025-06
2025-06-17,Transport,378.0,2025-06
2025-06-17,Packaging Materials,243.0,2025-06
2025-06-17,Miscellaneous,233.0,2025-06
2025-06-18,Labor - Regular,3210.0,2025-06
2025-06-18,Labor - Overtime,473.0,2025-06
2025-06-18,Fertilizers,1791.0,2025-06
2025-06-18,Pesticides & Fungicides,748.0,2025-06
2025-06-18,Seeds & Rootstock,871.0,2025-06
2025-06-18,Electricity,369.0,2025-06
2025-06-18,Water,230.0,2025-06
2025-06-18,Equipment Maintenance,227.0,2025-06
2025-06-18,Transport,348.0,2025-06
2025-06-18,Packaging Materials,271.0,2025-06
2025-06-18,Miscellaneous,244.0,2025-06
2025-06-19,Labor - Regular,3429.0,2025-06
2025-06-19,Labor - Overtime,539.0,2025-06
2025-06-19,Fertilizers,1222.0,2025-06
2025-06-19,Pesticides & Fungicides,400.0,2025-06
2025-06-19,Seeds & Rootstock,712.0,2025-06
2025-06-19,Electricity,452.0,2025-06
2025-06-19,Water,181.0,2025-06
2025-06-19,Equipment Maintenance,165.0,2025-06
2025-06-19,Transport,297.0,2025-06
2025-06-19,Packaging Materials,190.0,2025-06
2025-06-19,Miscellaneous,120.0,2025-06
2025-06-20,Labor - Regular,3259.0,2025-06
2025-06-20,Labor - Overtime,638.0,2025-06
2025-06-20,Fertilizers,1399.0,2025-06
2025-06-20,Pesticides & Fungicides,593.0,2025-06
2025-06-20,Seeds & Rootstock,825.0,2025-06
2025-06-20,Electricity,340.0,2025-06
2025-06-20,Water,226.0,2025-06
2025-06-20,Equipment Maintenance,267.0,2025-06
2025-06-20,Transport,403.0,2025-06
2025-06-20,Packaging Materials,211.0,2025-06
2025-06-20,Miscellaneous,204.0,2025-06
2025-06-21,Labor - Regular,3500.0,2025-06
2025-06-21,Labor - Overtime,691.0,2025-06
2025-06-21,Fertilizers,1841.0,2025-06
2025-06-21,Pesticides & Fungicides,700.0,2025-06
2025-06-21,Seeds & Rootstock,955.0,2025-06
2025-06-21,Electricity,366.0,2025-06
2025-06-21,Water,226.0,2025-06
2025-06-21,Equipment Maintenance,319.0,2025-06
2025-06-21,Transport,314.0,2025-06
2025-06-21,Packaging Materials,252.0,2025-06
2025-06-21,Miscellaneous,156.0,2025-06
2025-06-22,Labor - Regular,0.0,2025-06
2025-06-22,Labor - Overtime,0.0,2025-06
2025-06-22,Fertilizers,115.0,2025-06
2025-06-22,Pesticides & Fungicides,69.0,2025-06
2025-06-22,Seeds & Rootstock,103.0,2025-06
2025-06-22,Electricity,43.0,2025-06
2025-06-22,Water,19.0,2025-06
2025-06-22,Equipment Maintenance,18.0,2025-06
2025-06-22,Transport,36.0,2025-06
2025-06-22,Packaging Materials,24.0,2025-06
2025-06-22,Miscellaneous,23.0,2025-06
2025-06-23,Labor - Regular,3401.0,2025-06
2025-06-23,Labor - Overtime,648.0,2025-06
2025-06-23,Fertilizers,1694.0,2025-06
2025-06-23,Pesticides & Fungicides,660.0,2025-06
2025-06-23,Seeds & Rootstock,660.0,2025-06
2025-06-23,Electricity,388.0,2025-06
2025-06-23,Water,232.0,2025-06
2025-06-23,Equipment Maintenance,240.0,2025-06
2025-06-23,Transport,382.0,2025-06
2025-06-23,Packaging Materials,278.0,2025-06
2025-06-23,Miscellaneous,233.0,2025-06
2025-06-24,Labor - Regular,3220.0,2025-06
2025-06-24,Labor - Overtime,608.0,2025-06
2025-06-24,Fertilizers,1601.0,2025-06
2025-06-24,Pesticides & Fungicides,504.0,2025-06
2025-06-24,Seeds & Rootstock,938.0,2025-06
2025-06-24,Electricity,406.0,2025-06
2025-06-24,Water,203.0,2025-06
2025-06-24,Equipment Maintenance,209.0,2025-06
2025-06-24,Transport,266.0,2025-06
2025-06-24,Packaging Materials,240.0,2025-06
2025-06-24,Miscellaneous,177.0,2025-06
2025-06-25,Labor - Regular,3234.0,2025-06
2025-06-25,Labor - Overtime,351.0,2025-06
2025-06-25,Fertilizers,1234.0,2025-06
2025-06-25,Pesticides & Fungicides,614.0,2025-06
2025-06-25,Seeds & Rootstock,821.0,2025-06
2025-06-25,Electricity,362.0,2025-06
2025-06-25,Water,210.0,2025-06
2025-06-25,Equipment Maintenance,244.0,2025-06
2025-06-25,Transport,344.0,2025-06
2025-06-25,Packaging Materials,228.0,2025-06
2025-06-25,Miscellaneous,236.0,2025-06
2025-06-26,Labor - Regular,3198.0,2025-06
2025-06-26,Labor - Overtime,647.0,2025-06
2025-06-26,Fertilizers,1487.0,2025-06
2025-06-26,Pesticides & Fungicides,512.0,2025-06
2025-06-26,Seeds & Rootstock,893.0,2025-06
2025-06-26,Electricity,384.0,2025-06
2025-06-26,Water,210.0,2025-06
2025-06-26,Equipment Maintenance,309.0,2025-06
2025-06-26,Transport,266.0,2025-06
2025-06-26,Packaging Materials,261.0,2025-06
2025-06-26,Miscellaneous,97.0,2025-06
2025-06-27,Labor - Regular,3434.0,2025-06
2025-06-27,Labor - Overtime,450.0,2025-06
2025-06-27,Fertilizers,1445.0,2025-06
2025-06-27,Pesticides & Fungicides,563.0,2025-06
2025-06-27,Seeds & Rootstock,701.0,2025-06
2025-06-27,Electricity,342.0,2025-06
2025-06-27,Water,191.0,2025-06
2025-06-27,Equipment Maintenance,350.0,2025-06
2025-06-27,Transport,304.0,2025-06
2025-06-27,Packaging Materials,208.0,2025-06
2025-06-27,Miscellaneous,201.0,2025-06
2025-06-28,Labor - Regular,3341.0,2025-06
2025-06-28,Labor - Overtime,572.0,2025-06
2025-06-28,Fertilizers,1338.0,2025-06
2025-06-28,Pesticides & Fungicides,451.0,2025-06
2025-06-28,Seeds & Rootstock,784.0,2025-06
2025-06-28,Electricity,434.0,2025-06
2025-06-28,Water,228.0,2025-06
2025-06-28,Equipment Maintenance,173.0,2025-06
2025-06-28,Transport,288.0,2025-06
2025-06-28,Packaging Materials,212.0,2025-06
2025-06-28,Miscellaneous,95.0,2025-06
2025-06-29,Labor - Regular,0.0,2025-06
2025-06-29,Labor - Overtime,0.0,2025-06
2025-06-29,Fertilizers,155.0,2025-06
2025-06-29,Pesticides & Fungicides,62.0,2025-06
2025-06-29,Seeds & Rootstock,89.0,2025-06
2025-06-29,Electricity,35.0,2025-06
2025-06-29,Water,20.0,2025-06
2025-06-29,Equipment Maintenance,23.0,2025-06
2025-06-29,Transport,39.0,2025-06
2025-06-29,Packaging Materials,25.0,2025-06
2025-06-29,Miscellaneous,20.0,2025-06
2025-06-30,Labor - Regular,3214.0,2025-06
2025-06-30,Labor - Overtime,429.0,2025-06
2025-06-30,Fertilizers,1217.0,2025-06
2025-06-30,Pesticides & Fungicides,625.0,2025-06
2025-06-30,Seeds & Rootstock,1041.0,2025-06
2025-06-30,Electricity,389.0,2025-06
2025-06-30,Water,187.0,2025-06
2025-06-30,Equipment Maintenance,171.0,2025-06
2025-06-30,Transport,267.0,2025-06
2025-06-30,Packaging Materials,244.0,2025-06
2025-06-30,Miscellaneous,106.0,2025-06
2025-07-01,Labor - Regular,3340.0,2025-07
2025-07-01,Labor - Overtime,345.0,2025-07
2025-07-01,Fertilizers,939.0,2025-07
2025-07-01,Pesticides & Fungicides,1040.0,2025-07
2025-07-01,Seeds & Rootstock,807.0,2025-07
2025-07-01,Electricity,455.0,2025-07
2025-07-01,Water,182.0,2025-07
2025-07-01,Equipment Maintenance,349.0,2025-07
2025-07-01,Transport,389.0,2025-07
2025-07-01,Packaging Materials,263.0,2025-07
2025-07-01,Miscellaneous,157.0,2025-07
2025-07-02,Labor - Regular,3471.0,2025-07
2025-07-02,Labor - Overtime,541.0,2025-07
2025-07-02,Fertilizers,1097.0,2025-07
2025-07-02,Pesticides & Fungicides,1356.0,2025-07
2025-07-02,Seeds & Rootstock,945.0,2025-07
2025-07-02,Electricity,343.0,2025-07
2025-07-02,Water,195.0,2025-07
2025-07-02,Equipment Maintenance,286.0,2025-07
2025-07-02,Transport,411.0,2025-07
2025-07-02,Packaging Materials,261.0,2025-07
2025-07-02,Miscellaneous,232.0,2025-07
2025-07-03,Labor - Regular,3239.0,2025-07
2025-07-03,Labor - Overtime,544.0,2025-07
2025-07-03,Fertilizers,1322.0,2025-07
2025-07-03,Pesticides & Fungicides,901.0,2025-07
2025-07-03,Seeds & Rootstock,854.0,2025-07
2025-07-03,Electricity,422.0,2025-07
2025-07-03,Water,169.0,2025-07
2025-07-03,Equipment Maintenance,278.0,2025-07
2025-07-03,Transport,273.0,2025-07
2025-07-03,Packaging Materials,279.0,2025-07
2025-07-03,Miscellaneous,181.0,2025-07
2025-07-04,Labor - Regular,3433.0,2025-07
2025-07-04,Labor - Overtime,440.0,2025-07
2025-07-04,Fertilizers,1277.0,2025-07
2025-07-04,Pesticides & Fungicides,1381.0,2025-07
2025-07-04,Seeds & Rootstock,961.0,2025-07
2025-07-04,Electricity,349.0,2025-07
2025-07-04,Water,205.0,2025-07
2025-07-04,Equipment Maintenance,216.0,2025-07
2025-07-04,Transport,299.0,2025-07
2025-07-04,Packaging Materials,250.0,2025-07
2025-07-04,Miscellaneous,144.0,2025-07
2025-07-05,Labor - Regular,3333.0,2025-07
2025-07-05,Labor - Overtime,329.0,2025-07
2025-07-05,Fertilizers,1001.0,2025-07
2025-07-05,Pesticides & Fungicides,1447.0,2025-07
2025-07-05,Seeds & Rootstock,966.0,2025-07
2025-07-05,Electricity,396.0,2025-07
2025-07-05,Water,221.0,2025-07
2025-07-05,Equipment Maintenance,347.0,2025-07
2025-07-05,Transport,370.0,2025-07
2025-07-05,Packaging Materials,271.0,2025-07
2025-07-05,Miscellaneous,147.0,2025-07
2025-07-06,Labor - Regular,0.0,2025-07
2025-07-06,Labor - Overtime,0.0,2025-07
2025-07-06,Fertilizers,105.0,2025-07
2025-07-06,Pesticides & Fungicides,127.0,2025-07
2025-07-06,Seeds & Rootstock,100.0,2025-07
2025-07-06,Electricity,45.0,2025-07
2025-07-06,Water,20.0,2025-07
2025-07-06,Equipment Maintenance,26.0,2025-07
2025-07-06,Transport,34.0,2025-07
2025-07-06,Packaging Materials,28.0,2025-07
2025-07-06,Miscellaneous,13.0,2025-07
2025-07-07,Labor - Regular,3449.0,2025-07
2025-07-07,Labor - Overtime,371.0,2025-07
2025-07-07,Fertilizers,1195.0,2025-07
2025-07-07,Pesticides & Fungicides,898.0,2025-07
2025-07-07,Seeds & Rootstock,670.0,2025-07
2025-07-07,Electricity,436.0,2025-07
2025-07-07,Water,182.0,2025-07
2025-07-07,Equipment Maintenance,186.0,2025-07
2025-07-07,Transport,344.0,2025-07
2025-07-07,Packaging Materials,263.0,2025-07
2025-07-07,Miscellaneous,141.0,2025-07
2025-07-08,Labor - Regular,3209.0,2025-07
2025-07-08,Labor - Overtime,435.0,2025-07
2025-07-08,Fertilizers,1453.0,2025-07
2025-07-08,Pesticides & Fungicides,1159.0,2025-07
2025-07-08,Seeds & Rootstock,939.0,2025-07
2025-07-08,Electricity,414.0,2025-07
2025-07-08,Water,174.0,2025-07
2025-07-08,Equipment Maintenance,173.0,2025-07
2025-07-08,Transport,412.0,2025-07
2025-07-08,Packaging Materials,194.0,2025-07
2025-07-08,Miscellaneous,188.0,2025-07
2025-07-09,Labor - Regular,3467.0,2025-07
2025-07-09,Labor - Overtime,694.0,2025-07
2025-07-09,Fertilizers,1146.0,2025-07
2025-07-09,Pesticides & Fungicides,1571.0,2025-07
2025-07-09,Seeds & Rootstock,1057.0,2025-07
2025-07-09,Electricity,447.0,2025-07
2025-07-09,Water,203.0,2025-07
2025-07-09,Equipment Maintenance,207.0,2025-07
2025-07-09,Transport,379.0,2025-07
2025-07-09,Packaging Materials,276.0,2025-07
2025-07-09,Miscellaneous,239.0,2025-07
2025-07-10,Labor - Regular,3372.0,2025-07
2025-07-10,Labor - Overtime,408.0,2025-07
2025-07-10,Fertilizers,1194.0,2025-07
2025-07-10,Pesticides & Fungicides,1167.0,2025-07
2025-07-10,Seeds & Rootstock,607.0,2025-07
2025-07-10,Electricity,445.0,2025-07
2025-07-10,Water,228.0,2025-07
2025-07-10,Equipment Maintenance,342.0,2025-07
2025-07-10,Transport,267.0,2025-07
2025-07-10,Packaging Materials,195.0,2025-07
2025-07-10,Miscellaneous,182.0,2025-07
2025-07-11,Labor - Regular,3411.0,2025-07
2025-07-11,Labor - Overtime,363.0,2025-07
2025-07-11,Fertilizers,1441.0,2025-07
2025-07-11,Pesticides & Fungicides,957.0,2025-07
2025-07-11,Seeds & Rootstock,977.0,2025-07
2025-07-11,Electricity,344.0,2025-07
2025-07-11,Water,162.0,2025-07
2025-07-11,Equipment Maintenance,215.0,2025-07
2025-07-11,Transport,417.0,2025-07
2025-07-11,Packaging Materials,230.0,2025-07
2025-07-11,Miscellaneous,138.0,2025-07
2025-07-12,Labor - Regular,3219.0,2025-07
2025-07-12,Labor - Overtime,509.0,2025-07
2025-07-12,Fertilizers,888.0,2025-07
2025-07-12,Pesticides & Fungicides,947.0,2025-07
2025-07-12,Seeds & Rootstock,1067.0,2025-07
2025-07-12,Electricity,364.0,2025-07
2025-07-12,Water,176.0,2025-07
2025-07-12,Equipment Maintenance,260.0,2025-07
2025-07-12,Transport,361.0,2025-07
2025-07-12,Packaging Materials,265.0,2025-07
2025-07-12,Miscellaneous,231.0,2025-07
2025-07-13,Labor - Regular,0.0,2025-07
2025-07-13,Labor - Overtime,0.0,2025-07
2025-07-13,Fertilizers,100.0,2025-07
2025-07-13,Pesticides & Fungicides,83.0,2025-07
2025-07-13,Seeds & Rootstock,91.0,2025-07
2025-07-13,Electricity,39.0,2025-07
2025-07-13,Water,24.0,2025-07
2025-07-13,Equipment Maintenance,23.0,2025-07
2025-07-13,Transport,25.0,2025-07
2025-07-13,Packaging Materials,26.0,2025-07
2025-07-13,Miscellaneous,21.0,2025-07
2025-07-14,Labor - Regular,3238.0,2025-07
2025-07-14,Labor - Overtime,480.0,2025-07
2025-07-14,Fertilizers,1096.0,2025-07
2025-07-14,Pesticides & Fungicides,805.0,2025-07
2025-07-14,Seeds & Rootstock,1079.0,2025-07
2025-07-14,Electricity,388.0,2025-07
2025-07-14,Water,201.0,2025-07
2025-07-14,Equipment Maintenance,348.0,2025-07
2025-07-14,Transport,292.0,2025-07
2025-07-14,Packaging Materials,220.0,2025-07
2025-07-14,Miscellaneous,189.0,2025-07
2025-07-15,Labor - Regular,3279.0,2025-07
2025-07-15,Labor - Overtime,658.0,2025-07
2025-07-15,Fertilizers,1091.0,2025-07
2025-07-15,Pesticides & Fungicides,915.0,2025-07
2025-07-15,Seeds & Rootstock,1020.0,2025-07
2025-07-15,Electricity,412.0,2025-07
2025-07-15,Water,186.0,2025-07
2025-07-15,Equipment Maintenance,357.0,2025-07
2025-07-15,Transport,405.0,2025-07
2025-07-15,Packaging Materials,242.0,2025-07
2025-07-15,Miscellaneous,204.0,2025-07
2025-07-16,Labor - Regular,3336.0,2025-07
2025-07-16,Labor - Overtime,568.0,2025-07
2025-07-16,Fertilizers,1390.0,2025-07
2025-07-16,Pesticides & Fungicides,1314.0,2025-07
2025-07-16,Seeds & Rootstock,691.0,2025-07
2025-07-16,Electricity,421.0,2025-07
2025-07-16,Water,189.0,2025-07
2025-07-16,Equipment Maintenance,189.0,2025-07
2025-07-16,Transport,260.0,2025-07
2025-07-16,Packaging Materials,256.0,2025-07
2025-07-16,Miscellaneous,240.0,2025-07
2025-07-17,Labor - Regular,3442.0,2025-07
2025-07-17,Labor - Overtime,676.0,2025-07
2025-07-17,Fertilizers,1389.0,2025-07
2025-07-17,Pesticides & Fungicides,1032.0,2025-07
2025-07-17,Seeds & Rootstock,1014.0,2025-07
2025-07-17,Electricity,414.0,2025-07
2025-07-17,Water,196.0,2025-07
2025-07-17,Equipment Maintenance,223.0,2025-07
2025-07-17,Transport,301.0,2025-07
2025-07-17,Packaging Materials,236.0,2025-07
2025-07-17,Miscellaneous,248.0,2025-07
2025-07-18,Labor - Regular,3204.0,2025-07
2025-07-18,Labor - Overtime,333.0,2025-07
2025-07-18,Fertilizers,1397.0,2025-07
2025-07-18,Pesticides & Fungicides,1451.0,2025-07
2025-07-18,Seeds & Rootstock,914.0,2025-07
2025-07-18,Electricity,355.0,2025-07
2025-07-18,Water,195.0,2025-07
2025-07-18,Equipment Maintenance,273.0,2025-07
2025-07-18,Transport,325.0,2025-07
2025-07-18,Packaging Materials,266.0,2025-07
2025-07-18,Miscellaneous,226.0,2025-07
2025-07-19,Labor - Regular,3245.0,2025-07
2025-07-19,Labor - Overtime,544.0,2025-07
2025-07-19,Fertilizers,1261.0,2025-07
2025-07-19,Pesticides & Fungicides,1158.0,2025-07
2025-07-19,Seeds & Rootstock,683.0,2025-07
2025-07-19,Electricity,374.0,2025-07
2025-07-19,Water,178.0,2025-07
2025-07-19,Equipment Maintenance,372.0,2025-07
2025-07-19,Transport,315.0,2025-07
2025-07-19,Packaging Materials,236.0,2025-07
2025-07-19,Miscellaneous,110.0,2025-07
2025-07-20,Labor - Regular,0.0,2025-07
2025-07-20,Labor - Overtime,0.0,2025-07
2025-07-20,Fertilizers,141.0,2025-07
2025-07-20,Pesticides & Fungicides,116.0,2025-07
2025-07-20,Seeds & Rootstock,99.0,2025-07
2025-07-20,Electricity,35.0,2025-07
2025-07-20,Water,19.0,2025-07
2025-07-20,Equipment Maintenance,30.0,2025-07
2025-07-20,Transport,32.0,2025-07
2025-07-20,Packaging Materials,19.0,2025-07
2025-07-20,Miscellaneous,16.0,2025-07
2025-07-21,Labor - Regular,3305.0,2025-07
2025-07-21,Labor - Overtime,434.0,2025-07
2025-07-21,Fertilizers,1041.0,2025-07
2025-07-21,Pesticides & Fungicides,1318.0,2025-07
2025-07-21,Seeds & Rootstock,862.0,2025-07
2025-07-21,Electricity,421.0,2025-07
2025-07-21,Water,173.0,2025-07
2025-07-21,Equipment Maintenance,350.0,2025-07
2025-07-21,Transport,346.0,2025-07
2025-07-21,Packaging Materials,235.0,2025-07
2025-07-21,Miscellaneous,149.0,2025-07
2025-07-22,Labor - Regular,3346.0,2025-07
2025-07-22,Labor - Overtime,657.0,2025-07
2025-07-22,Fertilizers,1345.0,2025-07
2025-07-22,Pesticides & Fungicides,1420.0,2025-07
2025-07-22,Seeds & Rootstock,963.0,2025-07
2025-07-22,Electricity,416.0,2025-07
2025-07-22,Water,209.0,2025-07
2025-07-22,Equipment Maintenance,264.0,2025-07
2025-07-22,Transport,402.0,2025-07
2025-07-22,Packaging Materials,277.0,2025-07
2025-07-22,Miscellaneous,219.0,2025-07
2025-07-23,Labor - Regular,3397.0,2025-07
2025-07-23,Labor - Overtime,600.0,2025-07
2025-07-23,Fertilizers,1404.0,2025-07
2025-07-23,Pesticides & Fungicides,1569.0,2025-07
2025-07-23,Seeds & Rootstock,846.0,2025-07
2025-07-23,Electricity,393.0,2025-07
2025-07-23,Water,170.0,2025-07
2025-07-23,Equipment Maintenance,249.0,2025-07
2025-07-23,Transport,369.0,2025-07
2025-07-23,Packaging Materials,238.0,2025-07
2025-07-23,Miscellaneous,133.0,2025-07
2025-07-24,Labor - Regular,3205.0,2025-07
2025-07-24,Labor - Overtime,587.0,2025-07
2025-07-24,Fertilizers,1134.0,2025-07
2025-07-24,Pesticides & Fungicides,1158.0,2025-07
2025-07-24,Seeds & Rootstock,884.0,2025-07
2025-07-24,Electricity,395.0,2025-07
2025-07-24,Water,174.0,2025-07
2025-07-24,Equipment Maintenance,173.0,2025-07
2025-07-24,Transport,415.0,2025-07
2025-07-24,Packaging Materials,192.0,2025-07
2025-07-24,Miscellaneous,191.0,2025-07
2025-07-25,Labor - Regular,3254.0,2025-07
2025-07-25,Labor - Overtime,633.0,2025-07
